ticker,description
1969.HK,CHINA CHUNLAI
2405.HK,POWERWIN TECH
1578.HK,BANK OF TIANJIN
2660.HK,ZENGAME
2566.HK,JIUYUAN GENE
6877.HK,CLSA PREMIUM
2337.HK,UNITED STRENGTH
0830.HK,CSC DEVELOPMENT
9930.HK,HORIZON CD
1854.HK,CHINA WANTIAN
2531.HK,CARLINK TECH
1745.HK,LVJI TECH
2516.HK,FAR INTL
0707.HK,ATV HOLDINGS
2246.HK,GOGOX-NEW
2390.HK,ZHIHU-W
80011.HK,HANGSENG BANK-R
0232.HK,CON AERO TECH
3882.HK,SKYLIGHT HLDG
9933.HK,GHW INTL
2230.HK,MEDIALINK GROUP
9986.HK,DASHAN EDU
0732.HK,TRULY INT'L
1911.HK,CR HOLDINGS
0086.HK,SUN HUNG KAI CO
0039.HK,CH BEIDAHUANG
9936.HK,XIMEI RESOURCES
1025.HK,KNT HOLDINGS
1878.HK,SOUTHGOBI
2025.HK,RUIFENG POWER
7855.HK,TECHSTARACQ-Z
1317.HK,MAPLELEAF EDU
2393.HK,YESTAR HEALTH
0206.HK,CM-ENERGY
0218.HK,SWHYHK
0108.HK,GR LIFE STYLE
9616.HK,NEUTECH GROUP
1450.HK,BE FRIENDS HLDG
0818.HK,HI SUN TECH
2265.HK,HC ENV TECH
0399.HK,INNOVATIVE PHAR
0581.HK,CHINA ORIENTAL
1142.HK,E&P GLOBAL
1539.HK,UNITY GP HLDGS
1286.HK,IMPRO PRECISION
0640.HK,INFINITY DEV
2699.HK,XINMING CHINA
1588.HK,CHANJET
2250.HK,B.DUCK SEMK
3336.HK,JU TENG INTL
1920.HK,CHINA WACAN
1421.HK,PROSP GP INTL
0321.HK,TEXWINCA HOLD
0816.HK,JINMAO SERVICES
1050.HK,KARRIE INT'L
2438.HK,MOBVOI
9869.HK,HELENS
1346.HK,LEVER STYLE
3660.HK,QFIN-S
1502.HK,FIN STREET PPT
3818.HK,CHINA DONGXIANG
1425.HK,JUSTIN ALLEN H
1982.HK,NAMESON HLDGS
2503.HK,ZHONGSHENJIANYE
1283.HK,ACCEL GROUP
0332.HK,YUANHENG GAS
0145.HK,CCIAM FUTURE EN
0536.HK,TRADELINK
3600.HK,MODERN DENTAL
0098.HK,XINGFA ALUM
0493.HK,GOME RETAIL
6820.HK,FRIENDTIMES
0408.HK,YIP'S CHEMICAL
2177.HK,UNQ HOLDINGS
0950.HK,LEE'S PHARM
1728.HK,ZHENGTONGAUTO
3838.HK,CHINA STARCH
1116.HK,MAYER HOLDINGS
6929.HK,ORBUSNEICH
2279.HK,YONGHE MEDICAL
0078.HK,REGAL INT'L
1200.HK,MIDLAND HOLDING
2515.HK,TJCD
6978.HK,IMMUNOTECH-B
0554.HK,HANS GP HLDGS
2030.HK,CABBEEN
1718.HK,WAN KEI GROUP
0737.HK,BAY AREA DEV
